"","date","fav_count","rep_count","ret_count","user_count","tweet_count"
"159",2014-04-26,0,0,0,3,2
"160",2014-04-27,0,0,0,3,1
"161",2014-04-28,0,0,0,4,2
"162",2014-04-30,0,0,0,2,1
"163",2014-05-01,0,0,0,2,1
"164",2014-05-02,0,0,2,4,3
"165",2014-05-05,0,0,0,3,1
"166",2014-05-06,0,0,0,1,1
"167",2014-05-10,0,0,0,2,2
"168",2014-05-11,0,1,11,4,2
"169",2014-05-12,0,1,34,35,10
"170",2014-05-13,0,0,1,1,1
"171",2014-05-17,0,0,0,1,1
"172",2014-05-19,0,0,0,1,1
"173",2014-05-20,0,0,2,1,1
"174",2014-05-26,0,1,2,3,2
"175",2014-05-28,0,0,0,4,1
"176",2014-05-29,0,0,1,1,1
"177",2014-05-30,0,0,0,3,1
"178",2014-06-02,0,0,0,3,2
"179",2014-06-07,0,0,1,2,1
"180",2014-06-12,1,0,0,2,2
"181",2014-06-13,0,0,0,2,1
"182",2014-06-18,0,0,0,2,1
"183",2014-06-19,14,17,227,172,68
"184",2014-06-20,67,28,534,453,193
"185",2014-06-21,9,6,102,120,60
"186",2014-06-22,0,1,1,9,6
"187",2014-06-23,0,2,5,14,6
"188",2014-06-24,2,0,2,9,5
"189",2014-06-25,16,7,113,97,39
"190",2014-06-26,0,0,2,20,12
"191",2014-06-27,0,0,0,6,3
"192",2014-06-28,0,0,3,17,8
"193",2014-06-29,0,0,1,13,5
"194",2014-06-30,0,0,0,16,6
"195",2014-07-01,0,0,1,2,2
"196",2014-07-02,0,0,0,2,1
"197",2014-07-03,1,0,1,7,4
"198",2014-07-04,0,0,0,7,5
"199",2014-07-06,0,0,3,5,4
"200",2014-07-07,0,0,0,2,1
"201",2014-07-08,0,0,6,6,6
"202",2014-07-10,0,0,0,2,2
"203",2014-07-11,0,0,1,1,1
"204",2014-07-12,0,0,0,1,1
"205",2014-07-13,0,0,1,5,1
"206",2014-07-15,0,0,0,2,2
"207",2014-07-17,2,6,21,32,15
"208",2014-07-18,0,1,3,8,3
"209",2014-07-19,0,0,7,1,1
"210",2014-07-20,0,0,0,5,1
"211",2014-07-21,0,0,0,1,1
"212",2014-07-22,0,1,3,14,7
"213",2014-07-23,1,2,1,5,2
"214",2014-07-24,0,2,0,4,1
"215",2014-07-25,0,0,0,1,1
"216",2014-07-26,0,3,2,17,5
"217",2014-07-27,0,0,0,1,1
"218",2014-07-30,0,0,0,2,1
"219",2014-07-31,0,0,2,1,1
"220",2014-08-01,0,0,0,1,1
"221",2014-08-03,0,0,0,1,1
"222",2014-08-04,0,0,0,1,1
"223",2014-08-05,0,0,0,2,2
"224",2014-08-06,0,0,11,9,5
"225",2014-08-08,1,0,4,1,1
"226",2014-08-09,0,0,0,3,2
"227",2014-08-16,0,0,0,1,1
"228",2014-08-17,0,0,1,2,1
"229",2014-08-19,0,0,0,2,1
"230",2014-08-24,1,2,13,39,15
"231",2014-08-25,0,0,0,3,1
"232",2014-08-26,0,0,0,1,1
"233",2014-08-27,0,0,0,2,1
"234",2014-08-28,0,3,14,37,17
"235",2014-08-29,0,0,0,3,3
"236",2014-09-01,0,1,0,13,5
"237",2014-09-02,0,0,0,1,1
"238",2014-09-03,0,0,1,7,3
"239",2014-09-05,44,42,761,430,159
"240",2014-09-06,25,10,1579,206,80
"241",2014-09-07,77,52,875,545,247
"242",2014-09-08,18,21,266,437,188
"243",2014-09-09,14,24,319,280,132
"244",2014-09-10,11,10,200,172,100
"245",2014-09-11,8,7,96,141,79
"246",2014-09-12,6,3,61,114,50
"247",2014-09-13,3,4,68,81,36
"248",2014-09-14,10,1,67,47,28
"249",2014-09-15,6,5,43,77,44
"250",2014-09-16,4,2,70,98,37
"251",2014-09-17,16,7,85,57,26
"252",2014-09-18,0,0,5,20,12
"253",2014-09-19,66,33,883,370,167
"254",2014-09-20,35,2,204,40,24
"255",2014-09-21,3,2,12,44,26
"256",2014-09-22,15,3,173,458,169
"257",2014-09-23,0,0,4,29,16
"258",2014-09-24,2,2,3,25,11
"259",2014-09-25,2,2,32,32,13
"260",2014-09-26,0,1,2,20,12
"261",2014-09-27,2,6,18,47,17
"262",2014-09-28,0,1,0,9,8
"263",2014-09-29,0,0,4,18,13
"264",2014-09-30,1,4,8,21,12
"265",2014-10-01,0,1,3,25,10
"266",2014-10-02,1,1,9,17,10
"267",2014-10-03,1,2,35,25,14
"268",2014-10-04,0,0,2,7,7
"269",2014-10-05,0,2,1,16,8
"270",2014-10-06,0,1,1,17,9
"271",2014-10-07,22,34,570,650,403
"272",2014-10-08,0,1,5,33,16
"273",2014-10-09,1,1,4,17,12
"274",2014-10-10,13,7,103,23,14
"275",2014-10-11,0,0,2,7,4
"276",2014-10-12,3,1,21,7,5
"277",2014-10-13,0,0,9,27,14
"278",2014-10-14,0,0,1,4,2
"279",2014-10-15,17,9,202,90,50
