periode,user,n
3_Bureaucratization,@IpanFebriyanto,14
3_Bureaucratization,@Papah_Pandasu,14
3_Bureaucratization,@YouTube,14
3_Bureaucratization,@yunisatiarahayu,14
4_Decline,@Didy_D_Aditya,14
1_Emergence,@Dimekk,13
1_Emergence,@HeyAmbon,13
1_Emergence,@Trexzpoklexz,13
1_Emergence,@chatissa,13
1_Emergence,@dcarolin_,13
1_Emergence,@joe_shanji,13
1_Emergence,@pamityang2an,13
1_Emergence,@raybalrst,13
1_Emergence,@theohendra,13
3_Bureaucratization,@AmarisHotels,13
3_Bureaucratization,@BerandaJogja,13
3_Bureaucratization,@Crs_tiant,13
3_Bureaucratization,@DhanuSetiawan2,13
3_Bureaucratization,@H_ElaineJKT48,13
3_Bureaucratization,@Y_AndelaJKT48,13
3_Bureaucratization,@shitlicious,13
4_Decline,@kerjabahagia,13
1_Emergence,@RRW_Rockabilly,12
1_Emergence,@RealAbends,12
1_Emergence,@RizaRidhwan,12
1_Emergence,@alitalit_,12
1_Emergence,@aseppram,12
1_Emergence,@blangk_on,12
1_Emergence,@dr_gombes,12
1_Emergence,@hafizaajiyoga,12
1_Emergence,@nduglik,12
1_Emergence,@ridlwanjogja,12
1_Emergence,@sumbotinarbuko,12
1_Emergence,@xbarkahx,12
2_Coalescence,@IpanFebriyanto,12
2_Coalescence,@Yulianto_adhi,12
2_Coalescence,@hesti_RPauzia,12
2_Coalescence,@kota_jogja,12
2_Coalescence,@lantip,12
2_Coalescence,@limpunkfreak,12
3_Bureaucratization,@ErixSoekamti,12
3_Bureaucratization,@path_indo,12
4_Decline,@Ivulpull,12
4_Decline,@bootbobois,12
4_Decline,@sugengrahayu_,12
1_Emergence,@Al_Hakimen,11
1_Emergence,@UmarImam_,11
1_Emergence,@dianmartasari2,11
1_Emergence,@enggarvaesty,11
1_Emergence,@hanafirais_YUK,11
1_Emergence,@rasarab,11
2_Coalescence,@Asnawi__13,11
2_Coalescence,@ERX_BASTARD,11
2_Coalescence,@IndraEndro,11
2_Coalescence,@agus_noor,11
2_Coalescence,@bad1929boy,11
2_Coalescence,@dabgenthong,11
2_Coalescence,@frmn_ard,11
2_Coalescence,@maz_boy13,11
2_Coalescence,@ndesopetualang,11
3_Bureaucratization,@Pocong_TL,11
3_Bureaucratization,@Wasno_Dulkamdi,11
3_Bureaucratization,@adityaarfan_,11
3_Bureaucratization,@amin__rasyid,11
3_Bureaucratization,@ariwahyuputra,11
3_Bureaucratization,@bambangkesit,11
3_Bureaucratization,@kompascom,11
3_Bureaucratization,@pdgpenyok,11
3_Bureaucratization,@uchuphumam,11
4_Decline,@infojogja,11
1_Emergence,@Ho2Daniago,10
1_Emergence,@OplDwi,10
1_Emergence,@SkateXpoppunk,10
1_Emergence,@akbarnurhdyt,10
1_Emergence,@bowobakultiket,10
1_Emergence,@budisangbasiyo,10
1_Emergence,@dabgenthong,10
1_Emergence,@feliciasintaa,10
1_Emergence,@masihriyo,10
1_Emergence,@mryefta,10
1_Emergence,@reeyanROE,10
2_Coalescence,@EHshopYK,10
2_Coalescence,@NovaBilly_,10
2_Coalescence,@alaikazizi,10
2_Coalescence,@pondrajunior,10
3_Bureaucratization,@C_MichelleJKT48,10
3_Bureaucratization,@EndankSoekamti_,10
