"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"560","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:41:27,FALSE,NA,"1057039739541307392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gunawanperawang",431,TRUE,FALSE,NA,NA
"561","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:40:51,FALSE,NA,"1057039589251080192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GueIslam212aja",431,TRUE,FALSE,NA,NA
"562","RT @mpuanon: Setelah membakar Bendera Tauhid mereka lanjutkan dengan berdusta.

Tidak ada Bendera Tauhid yang tercecer. Banser membakar ben<U+2026>",FALSE,0,NA,2018-10-29 22:40:19,FALSE,NA,"1057039454173577216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Andimjeparas",856,TRUE,FALSE,NA,NA
"563","RT @Kings4fir: LAN UDAH GUA BILANG, KALAU PEMIMPINGAK AMANAH MAKA AKAN BANYAK GUNCANGAN, DAN ALAM IKUT MARAH . kejapa ? 

TUHAN AKAN IKUT C<U+2026>",FALSE,0,NA,2018-10-29 22:39:18,FALSE,NA,"1057039196953575424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","johnymneumonics",8,TRUE,FALSE,NA,NA
"564","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:36:23,FALSE,NA,"1057038463227224064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","firaunndeso",431,TRUE,FALSE,NA,NA
"565","RT @Rusydi_riau: Tentara Saja, Yang Tugasnya Menjaga NKRI Bangga Dan Tidak Takut Bawa Bendera Tauhid.

<U+0001F449> Ada segelintir oknum mirip tentara<U+2026>",FALSE,0,NA,2018-10-29 22:34:52,FALSE,NA,"1057038082711597056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","h4di66",304,TRUE,FALSE,NA,NA
"566","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:33:33,FALSE,NA,"1057037751273512962",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yunan99381783",431,TRUE,FALSE,NA,NA
"567","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:32:23,FALSE,NA,"1057037459043708928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nana040461",431,TRUE,FALSE,NA,NA
"568","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:31:36,FALSE,NA,"1057037262087610368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sirrkan1",431,TRUE,FALSE,NA,NA
"569","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:28:12,FALSE,NA,"1057036404297875457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AtNT18",431,TRUE,FALSE,NA,NA
"570","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:23:47,FALSE,NA,"1057035292861902848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElfinYusuf",431,TRUE,FALSE,NA,NA
"571","RT @SukaBasaBasi: Hei kau yg mengaku sbg muslim..
Jgn lah kau Taqlid Buta dalam suatu ormas atau pemimpin.
Karna jelas itu membawa anda ke<U+2026>",FALSE,0,NA,2018-10-29 22:17:16,FALSE,NA,"1057033653451014144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","banghafez",525,TRUE,FALSE,NA,NA
"572","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:14:58,FALSE,NA,"1057033076281270272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abudiman20",431,TRUE,FALSE,NA,NA
"573","#bubarkanbanser dulu jil sekarang jin #bubarkanjaringanislamnusantara https://t.co/eh5VvIlf9p",FALSE,0,NA,2018-10-29 22:14:23,FALSE,NA,"1057032926519533568",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","setiaone83",0,FALSE,FALSE,NA,NA
"574","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:09:37,FALSE,NA,"1057031730354302976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","endanghidayat",431,TRUE,FALSE,NA,NA
"575","Tenggelamkan !, Partai Pendukung &amp; Pembela Penista Agama  :
- PKB 
- P3
- PSi
- Golkar
- PDI
#BubarkanBanser https://t.co/Gkq97dlcTq",FALSE,0,NA,2018-10-29 22:06:39,FALSE,NA,"1057030983579385857",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jokosatrio75",0,FALSE,FALSE,NA,NA
"576","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:06:14,FALSE,NA,"1057030878394609664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kevinfendy",431,TRUE,FALSE,NA,NA
"577","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:06:01,FALSE,NA,"1057030820752326658",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PadiOyan",431,TRUE,FALSE,NA,NA
"578","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 22:05:07,FALSE,NA,"1057030594377338880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HenriSa06170683",431,TRUE,FALSE,NA,NA
